k	r	corrida	min1	max1	disp1	min2	max2	disp2	coc_milesimas	carga
1	3	1	197553	399081	2020	709560	802406	1130	3591	1.46
1	3	2	206410	255038	1235	772540	921909	1193	3742	3.03
1	3	3	191458	199970	1044	689658	757531	1098	3602	3.03
1	3	4	181894	239758	1318	744030	853140	1146	4090	4.47
1	3	5	165882	238687	1438	802325	974159	1214	4836	5.71
8	3	1	1483912	1630152	1098	6062257	7247692	1195	4085	6.94
8	3	2	1557184	1588086	1019	8109172	8974721	1106	5207	11.64
8	3	3	1857162	2315981	1247	6458226	9507985	1472	3477	14.45
8	3	4	2181122	2523134	1156	7124643	8991185	1261	3266	16.22
8	3	5	1596489	1641311	1028	6896578	9165187	1328	4319	17.36
20	3	1	5717906	6397733	1118	19787956	21647755	1093	3460	19.85
20	3	2	5008010	5502558	1098	18906344	20523994	1085	3775	19.96
20	3	3	5432373	6888863	1268	17253748	19837573	1149	3176	19.18
20	3	4	5135467	6638114	1292	15941933	19426043	1218	3104	18.48
20	3	5	3938464	5370283	1363	21717468	28158087	1296	5514	21.88
1	15	1	198434	461570	2326	712625	1818780	2552	3591	22.10
1	15	2	237025	504376	2127	780751	1418107	1816	3293	22.52
1	15	3	205783	419472	2038	706684	1452962	2056	3434	22.39
1	15	4	183409	495888	2703	744695	2234115	3000	4060	22.76
1	15	5	215242	508829	2363	900758	1685591	1871	4184	22.62
8	9	1	2078809	2838094	1365	7278518	11029194	1515	3501	23.84
8	9	2	1520486	3286618	2161	5861998	12301252	2098	3855	22.95
8	9	3	1513999	2915423	1925	6123514	12004099	1960	4044	20.90
8	9	4	1935561	2331520	1204	6012497	9604046	1597	3106	19.08
8	9	5	1490933	3517034	2358	7371840	10733415	1456	4944	18.57
