cond	k	corrida	min1	max1	disp1	min2	max2	disp2	coc_milesimas
idle	1	1	109421	153574	1403	423566	432099	1020	3870
idle	1	2	101300	114438	1129	466968	495772	1061	4609
idle	1	3	112790	166178	1473	565748	628532	1110	5015
idle	1	4	160316	170128	1061	551657	683399	1238	3441
idle	1	5	129782	150077	1156	514607	700208	1360	3965
idle	2	1	281807	286029	1014	918140	1193029	1299	3258
idle	2	2	231355	285195	1232	953145	1002083	1051	4119
idle	2	3	242471	480914	1983	1124626	1147438	1020	4638
idle	2	4	223993	229185	1023	930631	1043210	1120	4154
idle	2	5	211214	296697	1404	784787	1054708	1343	3715
idle	3	1	309323	400659	1295	1240295	1435290	1157	4009
idle	3	2	258546	304518	1177	1089764	1115888	1023	4214
idle	3	3	269860	327192	1212	1046237	1197405	1144	3876
idle	3	4	302661	385213	1272	999528	1139476	1140	3302
idle	3	5	251840	275828	1095	988758	1321908	1336	3926
idle	5	1	547018	1091088	1994	1705165	2617663	1535	3117
idle	5	2	414634	477969	1152	1567424	1631753	1041	3780
idle	5	3	481868	508100	1054	1593890	1937415	1215	3307
idle	5	4	415467	451321	1086	1586043	1621593	1022	3817
idle	5	5	402824	424976	1054	1540525	1590167	1032	3824
idle	8	1	622119	644603	1036	2471203	2681737	1085	3972
idle	8	2	626182	659744	1053	2476191	2667773	1077	3954
idle	8	3	627102	633889	1010	2485334	2620014	1054	3963
idle	8	4	627457	668575	1065	2532380	2626885	1037	4035
idle	8	5	692955	773044	1115	2546316	2673375	1049	3674
