cond	k	corrida	min1	max1	disp1	min2	max2	disp2	coc_milesimas
idle2	12	1	1190134	1358322	1141	4540806	5071970	1116	3815
idle2	12	2	1238720	1409140	1137	4137833	5363460	1296	3340
idle2	12	3	1339861	1654388	1234	4643794	5173413	1114	3465
idle2	12	4	1160170	1254398	1081	4509465	5685567	1260	3886
idle2	12	5	1147840	1205328	1050	4624173	4817917	1041	4028
idle2	20	1	1928834	2478703	1285	7602470	8404078	1105	3941
idle2	20	2	1958191	2123277	1084	6419992	7510438	1169	3278
idle2	20	3	1633191	1701627	1041	6500645	6614494	1017	3980
idle2	20	4	1688659	1876736	1111	6274987	6464382	1030	3715
idle2	20	5	1579143	1608759	1018	6277535	6361801	1013	3975
