ronda	medicion	modo	k	min_S	max_S	min_2S	max_2S	coc	banda_lo	banda_hi	anchura	carga	us
1	directa	bloque	20	271493	454695	505907	840297	1863	1112	3095	2783	10.02/10.02	3245919
1	directa	inter	20	265772	357997	538961	712806	2027	1505	2682	1782	10.66	2950000
1	failbefore	bloque	1	172974	250401	696300	856238	4025	2780	4950	1780	11.41/11.41	3026450
1	failbefore	inter	1	145831	287436	836035	960746	5732	2908	6588	2265	11.41	3420942
2	directa	inter	20	194103	208541	453195	464368	2334	2173	2392	1100	12.18	2049715
2	failbefore	bloque	1	145406	162370	604110	636352	4154	3720	4376	1176	12.18/12.18	2403981
2	failbefore	inter	1	146535	158779	603029	627198	4115	3797	4280	1127	12.80	2360049
2	directa	bloque	20	194227	232761	387077	434520	1992	1662	2237	1345	12.80/12.80	1955669
3	failbefore	bloque	1	152234	169963	939244	1036018	6169	5526	6805	1231	13.14/13.14	3558418
3	failbefore	inter	1	190664	230380	826838	1116640	4336	3589	5856	1631	13.14	3656397
3	directa	bloque	20	274396	424613	490372	593407	1787	1154	2162	1873	13.37/13.37	2711721
3	directa	inter	20	279632	309258	449889	657468	1608	1454	2351	1616	13.58	2605460
4	failbefore	inter	1	193337	236169	726843	914470	3759	3077	4729	1536	13.58	3247290
4	directa	bloque	20	229165	280249	518195	633035	2261	1849	2762	1493	13.77/13.77	2595905
4	directa	inter	20	221108	279221	530930	557826	2401	1901	2522	1326	13.77	2476674
4	failbefore	bloque	1	160560	169217	564808	609424	3517	3337	3795	1137	14.11/14.11	2347023
5	directa	bloque	20	203338	226307	418781	488378	2059	1850	2401	1297	14.11/14.11	2051877
5	directa	inter	20	243020	408617	597617	942955	2459	1462	3880	2653	14.42	3582484
5	failbefore	bloque	1	205398	231895	715592	848553	3483	3085	4131	1339	14.55/14.55	3128500
5	failbefore	inter	1	175442	236221	750187	999287	4275	3175	5695	1793	14.55	3237291
