ronda	medicion	modo	k	min_S	max_S	min_2S	max_2S	coc	banda_lo	banda_hi	anchura	carga	us
1	directa	bloque	20	87731	91527	173263	178735	1974	1893	2037	1076	0.10/0.10	828537
1	directa	inter	20	84359	92295	173910	177373	2061	1884	2102	1115	0.10	810565
1	failbefore	bloque	1	70157	73776	280410	295279	3996	3800	4208	1107	0.17/0.17	1107011
1	failbefore	inter	1	71165	75320	281446	293036	3954	3736	4117	1101	0.17	1096670
2	directa	inter	20	81043	83699	171979	180874	2122	2054	2231	1086	0.17	807411
2	failbefore	bloque	1	71032	75466	274739	285426	3867	3640	4018	1103	0.17/0.17	1087799
2	failbefore	inter	1	71392	72670	279339	298885	3912	3843	4186	1089	0.17	1104988
2	directa	bloque	20	88776	90421	173607	176030	1955	1919	1982	1032	0.24/0.24	823979
3	failbefore	bloque	1	72294	73066	279422	282921	3865	3824	3913	1023	0.24/0.24	1088859
3	failbefore	inter	1	71547	74761	283223	288860	3958	3788	4037	1065	0.24	1099364
3	directa	bloque	20	91297	94440	172888	205310	1893	1830	2248	1228	0.24/0.24	863008
3	directa	inter	20	82104	86899	172805	178297	2104	1988	2171	1092	0.24	799862
4	failbefore	inter	1	73072	77469	278531	290981	3811	3595	3982	1107	0.38	1102121
4	directa	bloque	20	89925	92910	171709	181649	1909	1848	2020	1093	0.38/0.38	832942
4	directa	inter	20	83656	84561	173423	175378	2073	2050	2096	1022	0.38	800104
4	failbefore	bloque	1	72360	73256	275153	282487	3802	3756	3903	1039	0.38/0.38	1085846
5	directa	bloque	20	89183	94529	175632	180642	1969	1857	2025	1090	0.38/0.38	838903
5	directa	inter	20	84410	89108	177814	181589	2106	1995	2151	1078	0.38	821051
5	failbefore	bloque	1	71496	75137	282443	289142	3950	3759	4044	1075	0.43/0.43	1101470
5	failbefore	inter	1	71335	75072	280760	296136	3935	3739	4151	1110	0.43	1112230
