ronda	config	min1	max1	min2	max2	coc_milesimas	carga	us
1	bloque:1:3	307201	496543	1159736	1433976	3775	17.55	5382149
1	bloque:2:9	404024	910488	1474748	2462786	3650	17.94	24107082
1	bloque:1:15	176540	275005	744450	1522474	4216	19.06	20155014
1	bloque:8:3	1599201	2372590	8473724	9474656	5298	21.24	32189667
1	inter:2:9	351757	545113	1456638	1890034	4141	22.71	18779332
2	bloque:1:3	180023	192620	795682	956178	4419	22.43	3280484
2	bloque:2:9	377445	630061	1443404	1988402	3824	22.20	19223322
2	bloque:1:15	226866	332439	747479	1454179	3294	21.84	19552578
2	bloque:8:3	1578215	2468085	8580866	9791897	5437	21.31	33330055
2	inter:2:9	361916	754400	1696839	2913492	4688	21.12	24619358
3	bloque:1:3	207780	296189	983622	1556927	4733	20.22	4901958
3	bloque:2:9	420791	1083459	1710865	3285549	4065	20.57	28996220
3	bloque:1:15	177985	385629	735496	1416463	4132	21.12	20307260
3	bloque:8:3	1976526	2693346	8911999	9902838	4508	22.40	35171447
3	inter:2:9	401206	656321	1865846	2387902	4650	22.88	24699169
4	bloque:1:3	196846	260870	805511	1023121	4092	23.34	3488534
4	bloque:2:9	354369	529195	1603514	3135497	4524	23.19	26723374
4	bloque:1:15	231417	552199	1001980	1672431	4329	23.31	23748793
4	bloque:8:3	1718315	2130220	6230256	8113891	3625	22.55	27746506
4	inter:2:9	448928	950622	1778416	3386827	3961	21.84	27996019
5	bloque:1:3	392713	419556	1130669	1643492	2879	20.62	5821585
5	bloque:2:9	447457	1318629	1973646	2937121	4410	20.47	31395934
5	bloque:1:15	258468	643552	732314	1569073	2833	20.46	21795427
5	bloque:8:3	1605020	3365580	6452396	6823128	4020	21.02	27831888
5	inter:2:9	358579	652340	1510080	2003795	4211	21.20	18829314
