ronda	config	min1	max1	min2	max2	coc_milesimas	carga	us
1	bloque:1:3	93995	111140	423342	472661	4503	7.11	1692583
1	bloque:3:9	273335	289379	917741	1116940	3357	6.70	11703144
1	inter:3:9	232308	274436	907361	1154746	3905	6.24	11520627
2	bloque:1:3	76487	77601	308874	354592	4038	5.22	1237446
2	bloque:3:9	228245	258468	1271845	1667521	5572	5.22	15756862
2	inter:3:9	301063	406118	1286363	1711943	4272	5.30	16029534
3	bloque:1:3	89995	96958	370435	386921	4116	5.07	1453643
3	bloque:3:9	270243	303467	1076847	1353732	3984	4.75	13673578
3	inter:3:9	265057	321522	1084085	1223829	4090	4.65	13042874
4	bloque:1:3	90752	100502	367764	382141	4052	4.13	1454134
4	bloque:3:9	272643	291672	1093006	1189418	4008	3.96	12848782
4	inter:3:9	277586	329632	1108763	1219340	3994	3.66	13101462
5	bloque:1:3	91565	97912	363904	398795	3974	3.42	1474788
5	bloque:3:9	273886	343440	1101449	1267516	4021	3.42	13206563
5	inter:3:9	269916	322337	1077231	1355572	3990	3.58	12918597
