ID    RAMA                                                 SENS       RIGOR     MATIZ     VALOR_HEX
R01   campo ausente (cadena vacia)                         no         estandar  unset     
R01   campo ausente (cadena vacia)                         si         critico   unset     
R01   campo ausente (cadena vacia)                         <ausente>  estandar  unset     
R01   campo ausente (cadena vacia)                         quiza      critico   unset     
R02   solo blancos (valor vacio tras normalizar)           no         estandar  unset      20 20 20
R02   solo blancos (valor vacio tras normalizar)           si         critico   unset      20 20 20
R02   solo blancos (valor vacio tras normalizar)           <ausente>  estandar  unset      20 20 20
R02   solo blancos (valor vacio tras normalizar)           quiza      critico   unset      20 20 20
R03   ligero limpio                                        no         ligero    unset      6c 69 67 65 72 6f
R03   ligero limpio                                        si         critico   unset      6c 69 67 65 72 6f
R03   ligero limpio                                        <ausente>  ligero    unset      6c 69 67 65 72 6f
R03   ligero limpio                                        quiza      critico   unset      6c 69 67 65 72 6f
R04   estandar limpio                                      no         estandar  unset      65 73 74 61 6e 64 61 72
R04   estandar limpio                                      si         critico   unset      65 73 74 61 6e 64 61 72
R04   estandar limpio                                      <ausente>  estandar  unset      65 73 74 61 6e 64 61 72
R04   estandar limpio                                      quiza      critico   unset      65 73 74 61 6e 64 61 72
R05   critico limpio                                       no         critico   unset      63 72 69 74 69 63 6f
R05   critico limpio                                       si         critico   unset      63 72 69 74 69 63 6f
R05   critico limpio                                       <ausente>  critico   unset      63 72 69 74 69 63 6f
R05   critico limpio                                       quiza      critico   unset      63 72 69 74 69 63 6f
R06   valor no reconocido                                  no         estandar  unset      62 61 73 75 72 61
R06   valor no reconocido                                  si         critico   unset      62 61 73 75 72 61
R06   valor no reconocido                                  <ausente>  estandar  unset      62 61 73 75 72 61
R06   valor no reconocido                                  quiza      critico   unset      62 61 73 75 72 61
R07   mayusculas (rama del ,,)                             no         ligero    unset      4c 49 47 45 52 4f
R07   mayusculas (rama del ,,)                             si         critico   unset      4c 49 47 45 52 4f
R07   mayusculas (rama del ,,)                             <ausente>  ligero    unset      4c 49 47 45 52 4f
R07   mayusculas (rama del ,,)                             quiza      critico   unset      4c 49 47 45 52 4f
R08   tabulador delante (rama //\t)                        no         ligero    unset      09 6c 69 67 65 72 6f
R08   tabulador delante (rama //\t)                        si         critico   unset      09 6c 69 67 65 72 6f
R08   tabulador delante (rama //\t)                        <ausente>  ligero    unset      09 6c 69 67 65 72 6f
