ID    RAMA                                                 SENS       RIGOR     MATIZ     VALOR_HEX
R01   campo ausente (cadena vacia)                         no         estandar  0         
R01   campo ausente (cadena vacia)                         si         critico   0         
R01   campo ausente (cadena vacia)                         <ausente>  estandar  0         
R01   campo ausente (cadena vacia)                         quiza      critico   0         
R02   solo blancos (valor vacio tras normalizar)           no         estandar  0          20 20 20
R02   solo blancos (valor vacio tras normalizar)           si         critico   0          20 20 20
R02   solo blancos (valor vacio tras normalizar)           <ausente>  estandar  0          20 20 20
R02   solo blancos (valor vacio tras normalizar)           quiza      critico   0          20 20 20
R03   ligero limpio                                        no         ligero    0          6c 69 67 65 72 6f
R03   ligero limpio                                        si         critico   0          6c 69 67 65 72 6f
R03   ligero limpio                                        <ausente>  ligero    0          6c 69 67 65 72 6f
R03   ligero limpio                                        quiza      critico   0          6c 69 67 65 72 6f
R04   estandar limpio                                      no         estandar  0          65 73 74 61 6e 64 61 72
R04   estandar limpio                                      si         critico   0          65 73 74 61 6e 64 61 72
R04   estandar limpio                                      <ausente>  estandar  0          65 73 74 61 6e 64 61 72
R04   estandar limpio                                      quiza      critico   0          65 73 74 61 6e 64 61 72
R05   critico limpio                                       no         critico   0          63 72 69 74 69 63 6f
R05   critico limpio                                       si         critico   0          63 72 69 74 69 63 6f
R05   critico limpio                                       <ausente>  critico   0          63 72 69 74 69 63 6f
R05   critico limpio                                       quiza      critico   0          63 72 69 74 69 63 6f
R06   valor no reconocido                                  no         estandar  0          62 61 73 75 72 61
R06   valor no reconocido                                  si         critico   0          62 61 73 75 72 61
R06   valor no reconocido                                  <ausente>  estandar  0          62 61 73 75 72 61
R06   valor no reconocido                                  quiza      critico   0          62 61 73 75 72 61
R07   mayusculas (rama del ,,)                             no         ligero    0          4c 49 47 45 52 4f
R07   mayusculas (rama del ,,)                             si         critico   0          4c 49 47 45 52 4f
R07   mayusculas (rama del ,,)                             <ausente>  ligero    0          4c 49 47 45 52 4f
R07   mayusculas (rama del ,,)                             quiza      critico   0          4c 49 47 45 52 4f
R08   tabulador delante (rama //\t)                        no         ligero    0          09 6c 69 67 65 72 6f
R08   tabulador delante (rama //\t)                        si         critico   0          09 6c 69 67 65 72 6f
R08   tabulador delante (rama //\t)                        <ausente>  ligero    0          09 6c 69 67 65 72 6f
R08   tabulador delante (rama //\t)                        quiza      critico   0          09 6c 69 67 65 72 6f
R09   blanco de mas interior (rama // )                    no         ligero    0          6c 69 20 67 65 72 6f
R09   blanco de mas interior (rama // )                    si         critico   0          6c 69 20 67 65 72 6f
R09   blanco de mas interior (rama // )                    <ausente>  ligero    0          6c 69 20 67 65 72 6f
R09   blanco de mas interior (rama // )                    quiza      critico   0          6c 69 20 67 65 72 6f
R10   acento (rama pliega_ortografia NFC)                  no         ligero    0          6c c3 ad 67 65 72 6f
R10   acento (rama pliega_ortografia NFC)                  si         critico   0          6c c3 ad 67 65 72 6f
R10   acento (rama pliega_ortografia NFC)                  <ausente>  ligero    0          6c c3 ad 67 65 72 6f
R10   acento (rama pliega_ortografia NFC)                  quiza      critico   0          6c c3 ad 67 65 72 6f
R11   acento NFD (rama pliega_ortografia NFD)              no         estandar  0          6c 69 65 cc 81 67 65 72 6f
R11   acento NFD (rama pliega_ortografia NFD)              si         critico   0          6c 69 65 cc 81 67 65 72 6f
R11   acento NFD (rama pliega_ortografia NFD)              <ausente>  estandar  0          6c 69 65 cc 81 67 65 72 6f
R11   acento NFD (rama pliega_ortografia NFD)              quiza      critico   0          6c 69 65 cc 81 67 65 72 6f
R12   markdown ** envolviendo (rama desenvuelve)           no         ligero    0          2a 2a 6c 69 67 65 72 6f 2a 2a
R12   markdown ** envolviendo (rama desenvuelve)           si         critico   0          2a 2a 6c 69 67 65 72 6f 2a 2a
R12   markdown ** envolviendo (rama desenvuelve)           <ausente>  ligero    0          2a 2a 6c 69 67 65 72 6f 2a 2a
R12   markdown ** envolviendo (rama desenvuelve)           quiza      critico   0          2a 2a 6c 69 67 65 72 6f 2a 2a
R13   markdown backtick envolviendo                        no         ligero    0          60 6c 69 67 65 72 6f 60
R13   markdown backtick envolviendo                        si         critico   0          60 6c 69 67 65 72 6f 60
R13   markdown backtick envolviendo                        <ausente>  ligero    0          60 6c 69 67 65 72 6f 60
R13   markdown backtick envolviendo                        quiza      critico   0          60 6c 69 67 65 72 6f 60
R14   markdown _ envolviendo                               no         ligero    0          5f 6c 69 67 65 72 6f 5f
R14   markdown _ envolviendo                               si         critico   0          5f 6c 69 67 65 72 6f 5f
R14   markdown _ envolviendo                               <ausente>  ligero    0          5f 6c 69 67 65 72 6f 5f
R14   markdown _ envolviendo                               quiza      critico   0          5f 6c 69 67 65 72 6f 5f
R15   MATIZ: parentesis simple                             no         estandar  1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R15   MATIZ: parentesis simple                             si         critico   1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R15   MATIZ: parentesis simple                             <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R15   MATIZ: parentesis simple                             quiza      critico   1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R16   MATIZ: parentesis pegado sin espacio                 no         estandar  1          6c 69 67 65 72 6f 28 6c 6f 63 61 6c 29
R16   MATIZ: parentesis pegado sin espacio                 si         critico   1          6c 69 67 65 72 6f 28 6c 6f 63 61 6c 29
R16   MATIZ: parentesis pegado sin espacio                 <ausente>  estandar  1          6c 69 67 65 72 6f 28 6c 6f 63 61 6c 29
R16   MATIZ: parentesis pegado sin espacio                 quiza      critico   1          6c 69 67 65 72 6f 28 6c 6f 63 61 6c 29
R17   MATIZ: parentesis vacio                              no         estandar  1          6c 69 67 65 72 6f 20 28 29
R17   MATIZ: parentesis vacio                              si         critico   1          6c 69 67 65 72 6f 20 28 29
R17   MATIZ: parentesis vacio                              <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 29
R17   MATIZ: parentesis vacio                              quiza      critico   1          6c 69 67 65 72 6f 20 28 29
